year,quarter,region,market_final,channel,viewability_percentage,unsafe_percentage,total_fraud_precentage
2019,Q4,LATAM,Mexico,Display,61.00%,5.50%,1.90%
2019,Q4,LATAM,Mexico,Mobile in app,68.00%,1.60%,0.90%
2019,Q4,LATAM,Mexico,Video,70.00%,7.20%,1.30%
2019,Q4,LATAM,Peru,Display,61.00%,5.50%,4.60%
2019,Q4,LATAM,Peru,Mobile in app,63.00%,1.90%,1.90%
2019,Q4,LATAM,Peru,Video,69.00%,9.30%,0.70%
2019,Q4,LATAM,Puerto Rico,Display,52.00%,5.50%,3.10%
2019,Q4,LATAM,Puerto Rico,Mobile in app,65.00%,1.90%,0.40%
2019,Q4,LATAM,Puerto Rico,Video,68.00%,9.30%,1.20%
2019,Q4,Middle East,Afghanistan,Display,50.00%,,4.70%
2019,Q4,Middle East,Afghanistan,Mobile in app,63.00%,,3.70%
2019,Q4,Middle East,Afghanistan,Video,56.00%,,21.90%
2019,Q4,Middle East,Egypt,Display,58.00%,,3.30%
2019,Q4,Middle East,Egypt,Mobile in app,59.00%,,0.60%
2019,Q4,Middle East,Egypt,Video,81.00%,,1.40%
2019,Q4,Middle East,Jordan,Display,60.00%,,3.80%
2019,Q4,Middle East,Jordan,Mobile in app,35.00%,,0.60%
2019,Q4,Middle East,Jordan,Video,76.00%,,1.50%
2019,Q4,Middle East,Israel,Display,56.00%,,3.40%
2019,Q4,Middle East,Israel,Mobile in app,67.00%,,1.20%
2019,Q4,Middle East,Israel,Video,87.00%,,0.50%
2019,Q4,Middle East,Kuwait,Display,57.00%,,3.80%
2019,Q4,Middle East,Kuwait,Mobile in app,46.00%,,0.70%
2019,Q4,Middle East,Kuwait,Video,71.00%,,1.90%
2019,Q4,Middle East,Lebanon,Display,58.00%,,3.50%
2019,Q4,Middle East,Lebanon,Mobile in app,51.00%,,1.10%
2019,Q4,Middle East,Lebanon,Video,59.00%,,6.00%
2019,Q4,Middle East,Saudi Arabia,Display,58.00%,,3.20%
2019,Q4,Middle East,Saudi Arabia,Mobile in app,38.00%,,0.30%
2019,Q4,Middle East,Saudi Arabia,Video,77.00%,,0.80%
2019,Q4,Middle East,Turkey,Display,58.00%,,4.30%
2019,Q4,Middle East,Turkey,Mobile in app,54.00%,,1.50%
2019,Q4,Middle East,Turkey,Video,81.00%,,1.50%
2019,Q4,Middle East,United Arab Emirates,Display,57.00%,,6.30%
2019,Q4,Middle East,United Arab Emirates,Mobile in app,47.00%,,1.40%
2019,Q4,Middle East,United Arab Emirates,Video,68.00%,,2.40%
2019,Q4,NA,Canada,Display,58.00%,10.80%,2.60%
2019,Q4,NA,Canada,Mobile in app,61.00%,3.30%,1.70%
2019,Q4,NA,Canada,Video,71.00%,7.80%,1.40%
2019,Q4,NA,US,Display,58.00%,4.80%,3.00%
2019,Q4,NA,US,Mobile in app,64.00%,3.10%,1.20%
2019,Q4,NA,US,Video,65.00%,6.80%,2.20%
2019,Q4,Western Europe,Austria,Display,66.00%,5.50%,5.90%
2019,Q4,Western Europe,Austria,Mobile in app,53.00%,7.20%,4.00%
2019,Q4,Western Europe,Austria,Video,70.00%,8.00%,1.30%
2019,Q4,Western Europe,Belgium,Display,56.00%,5.50%,4.60%
